product_id,product_name
4330077062,Budweiser Lager Cans (12 oz x 18 ct)
33469425,Budweiser Lager Domestic Beer 8 Pack 16 fl oz Aluminum Bottles 5.0% ABV
704651894,Budweiser Limited Edition American Lager Cans
30953732821,Budweiser Limited Edition American Lager Cans
960551036,Budweiser Nitro Reserve Gold Lager Cans - 6-12 Fl. Oz.
960088312,Budweiser Original Chelada Can - 25 Fl. Oz.
704651994,Budweiser Premium American Lager Bottles
30953732834,Budweiser Premium American Lager Cans
960173975,Budweiser Select 4.3% ABV Light Beer In Bottles - 18-12 Fl. Oz.
189011049,Budweiser Select 4.3% ABV Light Beer In Bottles - 6-12 Fl. Oz.
189010405,Budweiser Select 4.3% ABV Light Beer In Cans - 30-12 Fl. Oz.
107809122-2,Budweiser Select 55-12pk-12oz Cans
87600901-3,Budweiser Select American Light Beer-1/2 Keg
87600127-2,Budweiser Select American Light Beer-12pk-12oz Btls
87600122-2,Budweiser Select American Light Beer-12pk-12oz Cans
87600135-3,Budweiser Select American Light Beer-18-12oz Btls
87600119-3,Budweiser Select American Light Beer-18-12oz Cans
